Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"ST 2851, ST-2851",Glen Campbell,By The Time I Get To Phoenix,"Capitol Records, Capitol Records","LP, Album, Los",,1967,5770952,Uncategorized,2025-06-15 09:22:11,,,
"ST-2632, ST 2632",Lou Rawls,Carryin' On!,"Capitol Records, Capitol Records","LP, Album, Scr",,1966,576376,Uncategorized,2025-06-15 10:38:40,,,
"T1360, T-1360",Hank Thompson,Most Of All,"Capitol Records, Capitol Records","LP, Album, Mono, Scr",,1960,4611180,Uncategorized,2025-07-06 09:42:07,,,
"198 7 90126 1, 7 90126 1, C1 90126",Tina Turner,Tina Live In Europe,"Capitol Records, Capitol Records, Capitol Records","2xLP, Album, Gat",,1988,960934,Uncategorized,2025-11-08 09:11:01,,,
SKAO-2948,Lou Rawls,The Best Of Lou Rawls,"Capitol Records, Starline","LP, Comp, Uni",,1974,3404879,Uncategorized,2025-11-08 09:11:58,,,
B0026569-01,Mazzy Star,So Tonight That I Might See,"Capitol Records, UMe","LP, Album, RE",,2017,10822495,Uncategorized,2025-06-15 10:03:22,,,
B0027497-01,Various,A Capitol Christmas Volume Two,"Capitol Records, UMe","2xLP, Comp, Mono",,2017,11275221,Uncategorized,2025-06-15 09:38:40,,,
CAK177,"Dean & Britta, Sonic Boom (2)",A Peace Of Us,Carpark Records,"LP, Album, Eme",,2024,32377596,Uncategorized,2025-06-15 09:37:40,,,
"90132-1, 7 90132-1",Various,Atlantic Records History Of Rhythm And Blues Vocal Groups,"Cat (11), Atlantic","LP, Comp, Spe",,1983,1066923,Uncategorized,2025-06-15 09:17:01,,,
"FM 36731, 36731",Maurice André / Claude Bolling,Bolling: Toot Suite,"CBS, CBS","LP, Album",,1981,2270651,Uncategorized,2025-06-15 10:28:33,,,
08706-1,Trans Am (2),The Surveillance,"City Slang, EFA","LP, Album",,1998,650239,Uncategorized,2025-06-15 10:45:47,,,
C-196922870552,Clairo (2),Charm,"Clairo Records, Good Buddy","LP, Album, Ltd, Pur",,2024,31200277,Uncategorized,2025-06-15 09:42:38,,,
JABH 12,René & Angela,Street Called Desire,Club,"LP, Album",,1985,1358447,Uncategorized,2025-11-08 08:59:48,,,
CLMN 12016,Various,Soul Slabs Vol. 1,Colemine Records,"2xLP, Comp, RE",,2021,17506498,Uncategorized,2025-04-30 19:30:46,,,
CLMN 12026,Various,Soul Slabs Vol. 2,Colemine Records,"3xLP, RSD, Red + Box, Comp, Ltd, Num",,2019,13332158,Uncategorized,2025-04-30 19:31:10,,,
CLMN 12045,Various,Soul Slabs Vol. 3,Colemine Records,"2xLP, RSD, Comp, Ltd, Red",,2021,19027603,Uncategorized,2025-04-30 19:31:17,,,
CLMN-12038,Leroi Conroy,A Tiger's Tale,Colemine Records,"LP, Album",,2025,33898146,Uncategorized,2025-11-08 08:56:26,,,
CLMN-12051,The Ironsides,Changing Light,Colemine Records,"LP, Album, Ltd, RP, Cok",,2023,28687495,Uncategorized,2025-11-08 08:56:33,,,
"CLMN 12067, CLMN-12067",Various,Soul Slabs Vol. 4,"Colemine Records, Colemine Records","2xLP, RSD, Comp, Ltd, Red",,2025,33638112,Uncategorized,2025-06-15 08:59:24,,,
"CLMN-12063, CLMN 12063",Okonski,Entrance Music,"Colemine Records, Colemine Records","LP, Album, Ora",,2025,33250104,Uncategorized,2026-04-07 18:11:04,,,
19075990681,John Legend,A Legendary Christmas,Columbia,"2xLP, Album, Dlx",,2019,14608986,Uncategorized,2025-06-15 09:35:56,,,
88985452261,Haim (2),Something To Tell You,Columbia,"2x12"", Album",,2017,10713924,Uncategorized,2025-06-15 10:10:32,,,
ABS 1,Various,The Best Of '66 Volume Two,Columbia,"LP, Comp",,1967,2073591,Uncategorized,2025-06-15 09:01:05,,,
C 31630,Jim Nabors,Merry Christmas,Columbia,LP,,1972,1305487,Uncategorized,2025-06-15 10:06:05,,,
C 32268,Earl Scruggs,Dueling Banjos,Columbia,"LP, Album, Ter",,1973,2749149,Uncategorized,2025-07-06 09:38:08,,,
CJ 40784,"Miles Davis + 19, Gil Evans",Miles Ahead,Columbia,"LP, Album, RE, RM",,1987,2041629,Uncategorized,2025-06-15 10:19:32,,,
CL 1193,Miles Davis,Milestones,Columbia,"LP, Album, Mono, Bri",,1958,2562403,Uncategorized,2025-06-15 10:19:13,,,
CL 1463,Johnny Cash,"Now, There Was A Song!",Columbia,"LP, Album, Mono",,1960,2539726,Uncategorized,2025-06-15 09:01:20,,,
CL 2053,Johnny Cash,Ring Of Fire  (The Best Of Johnny Cash),Columbia,"LP, Comp, Mono, Hol",,1963,1430815,Uncategorized,2025-06-15 09:57:25,,,
CL 2087,Andy Williams,The Andy Williams Christmas Album,Columbia,"LP, Album, Mono",,1963,2037162,Uncategorized,2025-06-15 09:37:07,,,
CL 555,Michel Legrand Et Son Orchestre,I Love Paris,Columbia,"LP, Album, Mono",,1954,1819993,Uncategorized,2025-06-15 10:54:07,,,
CL 880,Percy Faith & His Orchestra,Passport To Romance,Columbia,"LP, Album, Mono",,1956,4851131,Uncategorized,2025-07-18 10:11:35,,,
CL 949,Miles Davis,'Round About Midnight,Columbia,"LP, Album, Mono, Ter",,1957,1157990,Uncategorized,2025-06-15 10:19:58,,,
CS 8085,Miles Davis,Porgy And Bess,Columbia,"LP, Album",,1959,1903323,Uncategorized,2025-06-15 10:19:42,,,
CS 9333,Andy Williams,In The Arms Of Love,Columbia,"LP, Album",,1967,3269762,Uncategorized,2025-06-15 09:57:43,,,
CS 9620,Jim Nabors,Kiss Me Goodbye,Columbia,LP,,1968,4887595,Uncategorized,2025-07-06 09:35:49,,,
CS 9628,Miles Davis,Miles In The Sky,Columbia,"LP, Album, Pit",,1968,1488165,Uncategorized,2025-06-15 10:19:06,,,
CS 9639,Johnny Cash,At Folsom Prison,Columbia,"LP, Album",,1968,1287354,Uncategorized,2025-06-15 10:29:30,,,
CS 9670,The Byrds,Sweetheart Of The Rodeo,Columbia,"LP, Album",,1968,1081165,Uncategorized,2025-06-15 09:56:26,,,
CS 9827,Johnny Cash,Johnny Cash At San Quentin,Columbia,"LP, Album",,1969,1595647,Uncategorized,2025-06-15 10:29:22,,,
CS 9844,Andy Williams,Happy Heart,Columbia,"LP, Album, Ter",,1969,1176765,Uncategorized,2025-06-15 10:25:01,,,
CSS 1395-1404,Various,Zenith Presents Encore '71,Columbia,"10xLP, Comp + Box",,1971,15013071,Uncategorized,2025-06-15 10:48:48,,,
FC 38923,Larry Gatlin & The Gatlin Brothers,Greatest Hits Vol. II,Columbia,"LP, Comp",,1983,2918845,Uncategorized,2025-11-08 09:06:46,,,
JC 34474,Pink Floyd,Animals,Columbia,"LP, Album, RP, Gat",,0,6449835,Uncategorized,2025-06-15 10:36:30,,,
KC 31645,Johnny Cash,America: A 200 Year Salute In Story And Song,Columbia,"LP, Album, Gat",,1972,1603008,Uncategorized,2025-06-15 09:20:43,,,
KC 32111,The Stooges,Raw Power,Columbia,"LP, Album, Pit",,1973,489717,Uncategorized,2025-06-15 10:33:48,,,
KCS 9914,Simon & Garfunkel,Bridge Over Troubled Water,Columbia,"LP, Album, San",,1970,605328,Uncategorized,2025-06-15 10:42:53,,,
none,Charles Mingus,Mingus Ah Um,Columbia,"LP, Album, RE, 180",,2016,8708322,Uncategorized,2025-06-15 10:41:18,,,
PC 35331,Elvis Costello,This Year's Model,Columbia,"LP, Album, RE, Car",,1984,371411,Uncategorized,2025-06-15 09:23:42,,,
QC 38358,Bruce Springsteen,Nebraska,Columbia,"LP, Album, RE, Car",,1982,13449657,Uncategorized,2025-06-15 10:46:44,,,
TBS 1,Various,The Best Of '66: Volume One,Columbia,"LP, Comp",,1967,542842,Uncategorized,2025-06-15 09:00:53,,,
MS 7518,George Gershwin,Gershwin's Greatest Hits,Columbia Masterworks,"LP, Comp",,1971,3204455,Uncategorized,2025-06-15 10:44:01,,,
CSS 1464,Various,A Very Merry Christmas Volume IV,Columbia Special Products,"LP, Comp, Ltd, Ter",,1970,5195830,Uncategorized,2025-06-15 10:55:17,,,
"19439748311, C-246968",Haim (2),Women In Music Pt. III,"Columbia, Columbia","2x12"", Album, Ltd, Yel",,2020,15557294,Uncategorized,2025-06-15 11:02:36,,,
"19802909261, 19802909261S1",Haim (2),I Quit,"Columbia, Columbia","2xLP, Album, Ltd, Pur",,2025,34353358,Uncategorized,2025-11-08 08:52:06,,,
"C 32743, KC 32743",Barbara Mandrell,The Midnight Oil,"Columbia, Columbia","LP, Album",,1973,2556558,Uncategorized,2025-06-15 10:05:29,,,
"C2 57804, C2 57804 S1",Alice In Chains,Jar Of Flies / Sap,"Columbia, Columbia","LP, EP + LP, S/Sided, EP, Etch + Comp, Ltd",,1994,1017812,Uncategorized,2025-06-15 10:44:53,,,
"CWS-2, CWS 2",Various,Welcome To Columbia Country,"Columbia, Columbia","LP, Comp",,1967,7988804,Uncategorized,2025-06-15 09:01:58,,,
"PC 8906, 8906",Miles Davis,Quiet Nights,"Columbia, Columbia","LP, Album, RE",,1977,372286,Uncategorized,2025-06-15 10:19:50,,,
HMJY-223,Jiro Inagaki & Soul Media = Jiro Inagaki & Soul Media,Funky Stuff = ファンキー・スタッフ,"Columbia, Deep Jazz Reality","LP, Album, Ltd, RE, RM, Cle",,2025,34906823,Uncategorized,2025-11-08 08:54:36,,,
"JC 34987, 34987",Billy Joel,The Stranger,"Columbia, Family Productions, Columbia, Family Productions","LP, Album, San",,1977,1108650,Uncategorized,2025-06-15 09:04:16,,,
"88875011571, FRM-8917",Johnny Cash,The Christmas Spirit,"Columbia, Friday Music","LP, Album, RE, Whi",,2014,6452727,Uncategorized,2025-06-15 09:46:39,,,
19658801701,Haim (2),Days Are Gone,"Columbia, Legacy","LP, Album, RE, Gre + LP, Gre + Dlx, 10t",,2023,28449943,Uncategorized,2025-06-15 10:10:24,,,
19802941261,Miles Davis,"Live At The Plugged Nickel: December 23, 1965 (Second Set)","Columbia, Legacy","2xLP, RSD, RE",,2025,35775421,Uncategorized,2026-04-07 18:02:06,,,
COMPOST 090-1,Fauna Flash,Fusion,Compost Records,"2xLP, Album, Gat",,2001,79767,Uncategorized,2025-06-15 10:32:19,,,
COOKLP795,Lissie,Watch Over Me (Early Works 2002 ​- 2009),Cooking Vinyl,"LP, Album, Ltd, Yel",,2022,23760947,Uncategorized,2025-11-06 15:15:21,,,
CR00671,Various,Stax Christmas,Craft Recordings,"LP, Comp",,2023,28701418,Uncategorized,2025-06-15 10:54:44,,,
"CR00771, 00888072598645",Sylvester,Live At The Opera House,"Craft Recordings, Craft Recordings","3xLP, Album, Pur",,2024,31768313,Uncategorized,2025-06-15 09:44:28,,,
CR00348,The Staple Singers,The Twenty-Fifth Day Of December,"Craft Recordings, Riverside Records","LP, Album, RSD, RE, 180",,2021,21109579,Uncategorized,2026-04-07 18:01:02,,,
CR00196,Johnnie Taylor,Who's Making Love,"Craft Recordings, Stax","LP, Album, RE, 180",,2019,14662653,Uncategorized,2025-06-15 09:40:53,,,
CR00629,Various,Written In Their Soul (The Hits: The Stax Songwriter Demos),"Craft Recordings, Stax","LP, Album, RSD, Ltd, Ora",,2023,29010598,Uncategorized,2025-06-15 09:26:17,,,
CDHW 072,Balduin,Creative Cookery,Crippled Dick Hot Wax!,2xLP,,2001,353880,Uncategorized,2025-06-15 10:45:20,,,
CRS 8014 ST,Curtis Mayfield,Super Fly,Curtom,"LP, Album, Die",,1972,253843,Uncategorized,2025-06-15 10:16:38,,,
"RCD1 535580, 603497837717",Curtis Mayfield,Curtis,"Curtom, Curtom","LP, Album, RE, Lig",,2023,25908871,Uncategorized,2025-06-15 10:02:33,,,
Red 127-1,Goblin,Suspiria (Original Motion Picture Soundtrack),Dagored,"LP, Album, RE, 180",,2000,319380,Uncategorized,2025-06-15 10:32:26,,,
Red 132-1,Antón García Abril & Marcello Giombini,...4..3..2..1... Morte,Dagored,"LP, Album, RE, 180",,2001,1027897,Uncategorized,2025-06-15 10:49:30,,,
Red 142-1,Ennio Morricone,Il Serpente (Original Motion Picture Soundtrack),Dagored,"LP, Album, RE, RM, Gat",,2002,877535,Uncategorized,2025-06-15 10:43:19,,,
DAP-012,Sharon Jones & The Dap-Kings,"100 Days, 100 Nights",Daptone Records,"LP, Album",,2007,1104796,Uncategorized,2025-11-08 08:55:15,,,
DAP-037,Sharon Jones & The Dap-Kings,It's A Holiday Soul Party,Daptone Records,"LP, Album, Ltd, RE, Can",,2021,20941060,Uncategorized,2025-06-15 10:58:06,,,
DAP-076,Jalen N'Gonda,Come Around And Love Me,Daptone Records,"LP, Album, Mono",,2023,28186123,Uncategorized,2025-11-08 08:55:24,,,
DAP-083,The Olympians,In Search Of A Revival,Daptone Records,"LP, Album",,2026,36342697,Uncategorized,2026-04-07 18:19:25,,,
DD017LP,Jean-Jacques Perrey,Moog Sensations,Dare-Dare,"LP, Album, RE",,2001,1004125,Uncategorized,2025-06-15 10:36:22,,,
DE-228,Jon Krocker,Monolog ,Dark Entries,"LP, Album, RM",,2018,12481563,Uncategorized,2025-06-15 10:26:24,,,
"DE-052, HNY-005",Patrick Cowley,School Daze,"Dark Entries, Honey Soundsystem Records","2xLP, Album, Comp",,2013,4899952,Uncategorized,2025-06-15 10:26:33,,,
"DE-106, HNY-011",Patrick Cowley,Muscle Up,"Dark Entries, Honey Soundsystem Records","2xLP, Album, Comp, RM",,2015,7492163,Uncategorized,2025-06-15 10:24:16,,,
00602557919486,Billie Eilish,Dont Smile At Me,"Darkroom (4), Interscope Records","12"", EP, RE, Red",,2018,13388399,Uncategorized,2025-06-15 10:50:41,,,
602465270525,Billie Eilish,Hit Me Hard And Soft,"Darkroom (4), Interscope Records","LP, Album, Ltd, Blu",,2024,30691885,Uncategorized,2025-06-15 09:55:48,,,
"B0029729-01JK02, B0029729-01",Billie Eilish,"When We All Fall Asleep, Where Do We Go?","Darkroom (4), Interscope Records","LP, Album",,2019,19673320,Uncategorized,2025-06-15 10:51:06,,,
"B0033832-01, B0033778-01, 00602435973579",Billie Eilish,Happier Than Ever,"Darkroom (4), Interscope Records, Darkroom (4), Interscope Records, Darkroom (4), Interscope Records","2xLP, Album, Ltd, Blu",,2021,19677331,Uncategorized,2025-06-15 11:02:46,,,
DOC153,Khruangbin,Con Todo El Mundo,Dead Oceans,"LP, Bla",,0,13652508,Uncategorized,2025-06-15 10:03:32,,,
DOC225,Japanese Breakfast,Jubilee,Dead Oceans,"LP, Album",,2021,18988069,Uncategorized,2025-06-15 11:02:27,,,
DOC214,Khruangbin & Leon Bridges,Texas Sun,"Dead Oceans, Columbia, Night Time Stories","12"", EP",,2020,14756037,Uncategorized,2025-06-15 09:35:48,,,
"DOC254LP, DOC254LP-C1",Khruangbin & Leon Bridges,Texas Moon,"Dead Oceans, Dead Oceans","12"", EP, Ltd, Blu",,2022,21902089,Uncategorized,2025-06-15 09:35:38,,,
"DOC425, Doc 425, DOC425lp-C1",Japanese Breakfast,For Melancholy Brunettes (& Sad Women),"Dead Oceans, Dead Oceans, Dead Oceans","LP, Album, Ltd, Fro",,2025,33439859,Uncategorized,2025-06-15 09:20:16,,,
DL 74586,Patsy Cline,That's How A Heartache Begins,Decca,"LP, Comp",,1964,5741447,Uncategorized,2025-07-06 10:13:32,,,
DL 8078,Joseph Gershenson,Magnificent Obsession (Original Motion Picture Soundtrack),Decca,"LP, Album, RP, Styrene",,1955,12394249,Uncategorized,2025-07-06 09:40:43,,,
DL 8078,Joseph Gershenson,Magnificent Obsession (Original Motion Picture Soundtrack),Decca,"LP, Album",,1954,3497955,Uncategorized,2025-11-08 09:12:30,,,
DL 8154,The Ink Spots,The Best Of The Ink Spots,Decca,"LP, Comp",,1955,5780514,Uncategorized,2025-07-06 09:34:56,,,
DJX07-1,Cannibal Ox,The Cold Vein,Def Jux,"2xLP, Album",,2001,90096,Uncategorized,2025-06-15 10:22:33,,,
DEMREC1270,Sparks,Propaganda,Demon Records,"LP, Album, RE, Mae",,2024,32429202,Uncategorized,2026-04-07 18:09:05,,,
"DSLP005, DSLP-005",Sugarman 3,Soul Donkey,"Desco Records, Desco Records","LP, Album",,1999,1036338,Uncategorized,2025-06-15 10:52:16,,,
00602547349415,Sonic Youth,Goo,DGC,"LP, Album, RE, Unofficial",,2015,15481542,Uncategorized,2025-11-08 08:57:21,,,
00602577307348,Nirvana,MTV Unplugged In New York,DGC,"2xLP, Album, RE, 25t",,2019,14341626,Uncategorized,2025-06-15 11:02:00,,,
DGC2-25105,Nirvana,From The Muddy Banks Of The Wishkah,DGC,"2xLP, Album, RE, 180",,2016,8571341,Uncategorized,2025-06-15 09:17:26,,,
424 425-1,Nirvana,Nevermind,"DGC, Sub Pop","LP, Album, RE, RP, 180",,2015,7097051,Uncategorized,2025-06-15 10:13:46,,,
"5517820, 5517858",Nirvana,In Utero,"DGC, Sub Pop, DGC, Sub Pop, UMe","LP, Album, RE, RM, 180 + 10"", Comp, RM + Ltd, 30t",,2023,28714897,Uncategorized,2025-06-15 10:58:33,,,
DIG 002 LP,Various,St. Pauli Affairs,Diggler Records,"LP, Comp",,2001,984698,Uncategorized,2025-06-15 10:14:11,,,
ESP 155 524,Cortex (6),Troupeau Bleu,Disques Espérance,"LP, Album",,1975,934193,Uncategorized,2025-06-15 10:30:37,,,
DOL924HG,Françoise Hardy,Françoise Hardy,DOL,"LP, Album, RE, 180",,2017,10844047,Uncategorized,2025-06-15 10:02:41,,,
DOS628MB,Various,The Phil Spector Christmas Album (A Christmas Gift For You),DOL,"LP, Album, Mono, Ltd, RE, Unofficial, Gre",,2013,12857760,Uncategorized,2025-06-15 09:38:33,,,
"WIGLP535X, WIGLP535",Sasami,Blood On The Silver Screen,"Domino, Domino","LP, Album, Ltd, Blo",,2025,33347450,Uncategorized,2025-06-15 09:09:20,,,
DG-51,Waxahatchee,American Weekend,Don Giovanni Records,"LP, Ltd, RE, Red",,2024,30718148,Uncategorized,2025-06-15 09:20:07,,,
DG-62,Waxahatchee,Cerulean Salt,Don Giovanni Records,"LP, Album, RE, Ind",,2024,32201589,Uncategorized,2025-06-15 09:35:04,,,
DUN 1007,Charles Bradley Featuring Menahan Street Band,Black Velvet,Dunham,"LP, Album, Ltd, Pur",,2018,12768110,Uncategorized,2025-11-08 08:57:29,,,
"DUN-1005, DAP-041, DAP041",Charles Bradley,Changes,"Dunham, Daptone Records, Daptone Records","LP, Album, RE",,2022,24566663,Uncategorized,2025-11-08 08:55:33,,,
EES-027,Hermanos Gutiérrez (2),El Bueno Y El Malo,Easy Eye Sound,"LP, Album, Ltd, Mar",,2023,26823269,Uncategorized,2025-06-15 09:17:42,,,
EES-036,Hermanos Gutiérrez (2),Sonido Cosmico,Easy Eye Sound,"LP, Album, Ltd, Ora",,2024,31442732,Uncategorized,2025-06-15 09:32:50,,,
"EES-0081, EES00068",Yola (4),Stand For Myself,"Easy Eye Sound, Easy Eye Sound","LP, Album, Neo",,2021,19685530,Uncategorized,2025-10-15 19:45:36,,,
"EES-018, EES01801",Yola (4),Stand For Myself,"Easy Eye Sound, Easy Eye Sound","LP, Album, Ltd, Cle",,2021,19802872,Uncategorized,2025-11-08 08:56:48,,,
ET 901 DLP,Piero Umiliani,"Svezia, Inferno E Paradiso (The Original Complete Motion Picture Soundtrack)",Easy Tempo,"2xLP, Album, RE",,1997,2104695,Uncategorized,2025-06-15 10:14:32,,,
EKS-74013,Love,Forever Changes,Elektra,"LP, Album, All",,1967,1157303,Uncategorized,2025-06-15 09:17:18,,,
"603497832613, R1 60774",Tracy Chapman,Tracy Chapman,"Elektra, Rhino Records (2)","LP, Album, RE, 35t",,2025,33543993,Uncategorized,2025-06-15 09:16:02,,,
"R1 728330, 081227808433",Love,The Complete Elektra Albums,"Elektra, Rhino Records (2), Elektra, Rhino Records (2)","LP, Album, RE + LP, Album, RE + LP, Album, RE + LP",,2025,35794531,Uncategorized,2026-04-07 18:04:05,,,
"EMIV 2093, 00602455215895",Olivia Dean,Messy,"EMI, EMI","LP, Album",,2023,27535212,Uncategorized,2026-04-07 18:08:01,,,
ENS-1010,Isaac Hayes,The Isaac Hayes Movement,Enterprise,"LP, Album, Gat",,1970,491954,Uncategorized,2025-06-15 10:08:18,,,
ENS-2-5002,Isaac Hayes,Shaft,Enterprise,"2xLP, Album, Mon",,1971,1893905,Uncategorized,2025-06-15 10:16:14,,,
ENS-7504,Isaac Hayes,Tough Guys (Music From The Soundtrack Of The Paramount Release 'Three Tough Guys'),Enterprise,"LP, Album, Mon",,1974,472605,Uncategorized,2025-06-15 10:32:43,,,
ENS-7510,Isaac Hayes,The Best Of Isaac Hayes,Enterprise,"LP, Comp",,1974,534002,Uncategorized,2025-06-15 09:33:53,,,
"ENS-2-5005, ENX-2-5005",Isaac Hayes,Live At The Sahara Tahoe,"Enterprise, Enterprise","2xLP, Album, Mon",,1973,550990,Uncategorized,2025-05-14 19:55:12,,,
"ENS-2-2005, ENS 2-2005, 2628 011",Isaac Hayes,Isaac Hayes Live At The Sahara Tahoe,"Enterprise, Enterprise, Enterprise","2xLP, Album, Gat",,1973,2634535,Uncategorized,2025-06-15 09:15:14,,,
BN 26511,Shuggie Otis,Here Comes Shuggie Otis,Epic,"LP, Album, Pit",,1970,3427163,Uncategorized,2025-06-15 10:36:00,,,
FE 37595,Mickey Gilley,Christmas At Gilley's,Epic,"LP, Album",,1981,5472735,Uncategorized,2026-04-07 18:22:27,,,
KE 30802,George Jones & Tammy Wynette,We Go Together,Epic,"LP, Album, Gat",,1971,3785693,Uncategorized,2025-11-08 09:06:13,,,
KE 33059,Shuggie Otis,Inspiration Information,Epic,"LP, Album, Ter",,1974,191641,Uncategorized,2025-06-15 09:04:07,,,
LA 16025,Dave Pike Quartet,Pike's Peak,Epic,"LP, Album, Mono",,1962,3680550,Uncategorized,2025-06-15 10:17:12,,,
PE 37593,Merle Haggard,Big City,Epic,"LP, Album, RP, Ter",,0,12695905,Uncategorized,2025-06-15 10:12:44,,,
"EPC 26044, 26044",Sade,Diamond Life,"Epic, Epic","LP, Album, Dar",,1984,947850,Uncategorized,2025-06-15 10:10:05,,,
"FE 35773, 35773",Cheap Trick,Dream Police,"Epic, Epic","LP, Album, Pit",,1979,759698,Uncategorized,2025-06-15 10:11:58,,,
"PE 34348, 34348",Sly & The Family Stone,"Heard Ya Missed Me, Well I'm Back","Epic, Epic","LP, Album",,1976,2432353,Uncategorized,2025-06-15 09:03:23,,,
"EG 36888, E 36889, E 36890",Heart,Greatest Hits / Live,"Epic, Epic, Epic","2xLP, Comp, RE, Car",,0,4778723,Uncategorized,2025-06-15 10:05:13,,,
"EPC 69218, S EPC 69218, POLS 266",ABBA,Greatest Hits,"Epic, Epic, Epic","LP, Comp, RE, Ora",,1976,398759,Uncategorized,2025-06-15 09:21:52,,,
88765404101,Incubus (2),Morning View,"Epic, Immortal Records (3), Legacy","2xLP, Album, RE, 180",,2013,4228036,Uncategorized,2025-06-15 09:24:11,,,
88697413021,Pearl Jam,Ten,"Epic, Legacy","LP, Album, RM + LP, Album, Rem + RM, Gat",,2009,7650075,Uncategorized,2025-11-08 08:57:44,,,
CBR 1012,Sam Cooke,Twistin' The Night Away,Everest Records (5),"LP, Comp",,0,1519429,Uncategorized,2025-11-08 09:00:06,,,
829299184310,Clairo (2),Immunity ,Fader Label,"LP, Album, Ltd, Num, RE, Gre",,2024,31506614,Uncategorized,2026-04-07 18:10:37,,,
LP 362,Ray Barretto,Hard Hands,Fania Records,"LP, Album, Mono, RE",,0,2646365,Uncategorized,2025-06-15 10:28:02,,,
F-9456,David Axelrod,Heavy Axe,Fantasy,"LP, Album",,1974,157658,Uncategorized,2025-06-15 10:22:41,,,
F-9501,The Bill Evans Trio,Since We Met,Fantasy,"LP, Album",,1976,1168844,Uncategorized,2025-06-22 12:18:02,,,
F-9556,Sylvester,Step II,Fantasy,"LP, Album, San",,1978,147829,Uncategorized,2026-04-07 18:09:15,,,
F-9601,Sylvester,Sell My Soul,Fantasy Honey Records,"LP, Album, San",,1980,103546,Uncategorized,2025-06-15 09:07:47,,,
F-9607,Sylvester,Too Hot To Sleep,Fantasy Honey Records,"LP, Album",,1981,508289,Uncategorized,2025-06-15 09:07:38,,,
"8431, CR01910",Vince Guaraldi Trio,A Charlie Brown Christmas,"Fantasy, Craft Recordings","LP, Album, Ltd, RE, Gre",,2019,14309190,Uncategorized,2025-06-15 10:57:31,,,
"8431, CR09585",Vince Guaraldi Trio,A Charlie Brown Christmas,"Fantasy, Craft Recordings","LP, Album, Ltd, RE, Foi",,2025,34957562,Uncategorized,2026-04-07 18:01:33,,,
FARO 035DLP,Azymuth,Pieces Of Ipanema,Far Out Recordings,"2xLP, Album",,1999,208217,Uncategorized,2025-06-15 10:49:37,,,
80343-1,R.L. Burnside,Burnside On Burnside,Fat Possum Records,"LP, Album, RP",,0,8490605,Uncategorized,2025-11-08 08:54:10,,,
FIRELP547X,Sebadoh,Act Surprised,Fire Records,"LP, Album, Ltd, Num, Tri",,2019,13665586,Uncategorized,2026-04-07 18:16:28,,,
FNG111,Kassi Valazza,From Newman Street,Fluff And Gravy Records,"LP, Album, Ltd, Gol",,2025,33847461,Uncategorized,2025-11-06 15:15:47,,,
AMS-12007,The Cyrkle,The Minx,"Flying Dutchman, Amsterdam (2)","LP, Album",,1970,864732,Uncategorized,2025-06-15 10:30:57,,,
FM 104LP,Guem,O Universo Rítmico De Guem,Follow Me Records,"LP, Album",,2001,575871,Uncategorized,2025-06-15 10:32:36,,,
389 083-9,Scott Walker,Boy Child - The Best Of 1967 - 1970,"Fontana, UMC","2xLP, RSD, Comp, Ltd, RE, Whi",,2022,22965146,Uncategorized,2025-06-15 09:41:01,,,
"XDUSTLP2, 7243 8 42950 1 1",The Chemical Brothers,Dig Your Own Hole,"Freestyle Dust, Virgin","2xLP, Album, RE, Gat",,2016,9250776,Uncategorized,2025-06-15 10:01:50,,,
FRM-1035,Elvis Presley,Elvis' Christmas Album,Friday Music,"LP, Mono, Ltd, RE",,2012,5132695,Uncategorized,2025-06-15 09:46:29,,,
"FRM-2328, 88875104301",Elvis Presley,His Hand In Mine,"Friday Music, RCA Victor, Sony Music Commercial Music Group","LP, Album, RE, Whi",,2018,12338800,Uncategorized,2025-06-15 09:55:35,,,
KE2 37393,Dan Fogelberg,The Innocent Age,"Full Moon, Epic","2xLP, Album, Ter",,1981,1342893,Uncategorized,2025-06-15 10:47:35,,,
QE 38308,Dan Fogelberg,Greatest Hits,"Full Moon, Epic","LP, Comp, Car",,1982,1329690,Uncategorized,2025-06-15 10:47:15,,,
"FR 005, SML 066 LP",Various,The Mighty Mellow - The Sequel (A Psycho-Funk Resurrection!),"Future Records (2), Hitland","2xLP, Comp",,0,407038,Uncategorized,2025-06-15 10:14:03,,,
00602557283518,Elliott Smith,XO,Geffen Records,"LP, Album, RE",,2017,10310993,Uncategorized,2025-11-08 08:53:50,,,
00602577329418,Nirvana,Live At The Paramount,"Geffen Records, Universal Music Group, DGC","2xLP, Album, RE, Ora",,2023,26036083,Uncategorized,2025-06-15 09:59:49,,,
"828 522-1, 828 522 - 1",Portishead,Dummy,"Go! Beat, Go! Beat","LP, Album, RE, 180",,2000,1526433,Uncategorized,2025-06-15 10:18:31,,,
56-GA-100,Elvis Presley,Dorsey Shows ,Golden Archives,"LP, Comp, Mono, Unofficial",,1977,5067876,Uncategorized,2026-04-07 18:14:07,,,
CLO3124,James Brown,Christmas Time,Goldenlane Records,"LP, Ltd, RE, Red",,2022,25074481,Uncategorized,2025-06-15 10:55:25,,,
PP101,Various,Beyond The Valley Of The Beats,Grand Gruyere Recordings,"LP, Comp, Unofficial",,1997,1821006,Uncategorized,2025-06-15 10:15:23,,,
